video_id,video_title,comment_id,text,author,likes,published_at,keyword,text_cleaned,text_length,word_count,sentiment_score,sentiment,sentiment_confidence,emotions,aspects,toxicity_label,toxicity_score,stance,intent,low_confidence_flag
oIfPfk_ZM3U,"Hasil Timnas U17 Indonesia Vs Honduras, Catat Sejarah Baru Garuda Asia Menang 2-1",Ugzr7NzyLUbRP0JvJqV4AaABAg,"TDK hanya jadi pelengkap grup H, tapi mampu membuktikan timnas muda bukan tim kaleng2 bravo timnas u 17 💪💪💪",@unangmulyadi4030,2,2025-11-11T03:40:19Z,Timnas Indonesia Piala Dunia,hanya jadi pelengkap grup tapi mampu membuktikan timnas muda bukan tim kaleng2 bravo timnas,107,14,0.0,netral,0.0,['kecewa'],['pemain'],non-toxic,0.10999999999999999,tidak_jelas,informasi,True
oIfPfk_ZM3U,"Hasil Timnas U17 Indonesia Vs Honduras, Catat Sejarah Baru Garuda Asia Menang 2-1",Ugy3cpONGx4j4X4iPot4AaABAg,"Sejarah yg patut dbanggakan,semoga yg senior bisa jg mencetak sejarah dpiala dunia",@sutarmanman6398,2,2025-11-11T04:11:08Z,Timnas Indonesia Piala Dunia,sejarah patut dbanggakan semoga senior mencetak sejarah dpiala dunia,82,9,0.0,netral,0.0,['kecewa'],['pemain'],non-toxic,0.18,tidak_jelas,informasi,True
oIfPfk_ZM3U,"Hasil Timnas U17 Indonesia Vs Honduras, Catat Sejarah Baru Garuda Asia Menang 2-1",Ugw0ksmgpX8aRMtkTa94AaABAg,"Mantab, lanjutkan butuh proses untuk berkembang 🎉🎉",@taufiqurrizki1522,2,2025-11-10T23:50:32Z,Timnas Indonesia Piala Dunia,mantab lanjutkan butuh proses berkembang,50,5,0.5,positif,0.5,['senang'],['pemain'],non-toxic,0.22999999999999998,pro,informasi,True
oIfPfk_ZM3U,"Hasil Timnas U17 Indonesia Vs Honduras, Catat Sejarah Baru Garuda Asia Menang 2-1",UgwcExKuKM6VzgvI-zN4AaABAg,Mantap sejarah baru Indonesia ikut piala dunia u 17,@AtriAtri-t1w,1,2025-11-11T04:47:40Z,Timnas Indonesia Piala Dunia,mantap sejarah baru indonesia ikut piala dunia,51,7,0.5,positif,0.5,['senang'],['pemain'],non-toxic,0.21,pro,informasi,True
oIfPfk_ZM3U,"Hasil Timnas U17 Indonesia Vs Honduras, Catat Sejarah Baru Garuda Asia Menang 2-1",Ugyj7zKnBYE_aCfIAuN4AaABAg,"Makannya kalau kalah jangan sampai dihujat, mereka sudah berdarah-darah agar tampil lbh baik",@bambang-k5k,0,2025-11-11T03:58:21Z,Timnas Indonesia Piala Dunia,makannya kalau kalah jangan sampai dihujat berdarah darah agar tampil lbh baik,92,12,0.0,netral,0.0,['kecewa'],['pemain'],non-toxic,0.16999999999999998,tidak_jelas,informasi,True
oIfPfk_ZM3U,"Hasil Timnas U17 Indonesia Vs Honduras, Catat Sejarah Baru Garuda Asia Menang 2-1",UgxQstJ_9z_mT5krEud4AaABAg,"Sayangnya tidak masuk di 8 tim terbaik di urutan ke 3 group alias gagal lanjut ke 32 besar.
Selamat sudah bisa mencetak kemenangan 2-1 atas Honduras",@yudiem1035,0,2025-11-11T03:39:33Z,Timnas Indonesia Piala Dunia,sayangnya masuk tim terbaik urutan group alias gagal lanjut besar selamat mencetak kemenangan atas honduras,148,15,-0.5,negatif,0.5,['kecewa'],['pemain'],non-toxic,0.1,kontra,komplain,True
oIfPfk_ZM3U,"Hasil Timnas U17 Indonesia Vs Honduras, Catat Sejarah Baru Garuda Asia Menang 2-1",UgxuIXiT-GA2BFuNHxZ4AaABAg,Calon timnas senior kededapnya🔥,@wayanastrawan-i2i,0,2025-11-11T03:36:44Z,Timnas Indonesia Piala Dunia,calon timnas senior kededapnya,31,4,0.0,netral,0.0,['kecewa'],['pemain'],non-toxic,0.26,tidak_jelas,informasi,True
oIfPfk_ZM3U,"Hasil Timnas U17 Indonesia Vs Honduras, Catat Sejarah Baru Garuda Asia Menang 2-1",Ugwo_ZDX64PTs4xINnN4AaABAg,"coba itu klub2 besar indonesia nanti rekrut jebolan brazil u17 atau u20 dan argentina u17 atau u20 yg kalah bersaing sesama pemain timnas nya, saya yakin masih bagus kualitasnya, buat investasi daripada beli pemain yg sudah mahal, syukur2 5 tahun bermain di indo dia mau dinaturalisasi",@p.djoemena616,0,2025-11-11T02:27:44Z,Timnas Indonesia Piala Dunia,coba klub2 besar indonesia nanti rekrut jebolan brazil u17 u20 argentina u17 u20 kalah bersaing sesama pemain timnas yakin bagus kualitasnya buat investasi daripada beli pemain mahal syukur2 tahun bermain indo dinaturalisasi,285,32,0.0,netral,0.0,['kecewa'],['pemain'],non-toxic,0.1,tidak_jelas,ajakan,True
oIfPfk_ZM3U,"Hasil Timnas U17 Indonesia Vs Honduras, Catat Sejarah Baru Garuda Asia Menang 2-1",Ugz1FZZdpch8XYNl-PZ4AaABAg,"Sebenernya bisa menang lebih itu, sayang gak bisa manfaatkan....cuma Alhamdulillah bisa petik 3 poin",@dahliadahlia7211,0,2025-11-11T06:28:56Z,Timnas Indonesia Piala Dunia,sebenernya menang sayang manfaatkan cuma alhamdulillah petik poin,100,8,0.5,positif,0.5,['senang'],['pemain'],non-toxic,0.15999999999999998,pro,informasi,True
oIfPfk_ZM3U,"Hasil Timnas U17 Indonesia Vs Honduras, Catat Sejarah Baru Garuda Asia Menang 2-1",UgyiCRxH2MFJ-OfGzSh4AaABAg,Luar biasa yg penting bukan juru kunci dan kita bisa menang di piala dunia😂,@djonisardjono2250,0,2025-11-11T01:50:54Z,Timnas Indonesia Piala Dunia,luar biasa penting bukan juru kunci menang piala dunia,75,9,0.5,positif,0.5,['senang'],['pemain'],non-toxic,0.15999999999999998,pro,informasi,True
